timestamps,vehicle_count
2024-05-01 14:08:06,7
2024-05-01 14:08:16,10
2024-05-01 14:08:26,7
2024-05-01 14:08:36,10
2024-05-01 14:08:46,7
2024-05-01 14:08:56,6
2024-05-01 14:09:06,5
2024-05-01 14:09:16,5
2024-05-01 14:09:26,8
2024-05-01 14:09:36,6
2024-05-01 14:09:46,7
2024-05-01 14:09:56,6
2024-05-01 14:10:06,4
2024-05-01 14:10:16,6
2024-05-01 14:10:26,8
2024-05-01 14:10:36,8
2024-05-01 14:10:46,7
2024-05-01 14:10:56,6
2024-05-01 14:11:06,9
2024-05-01 14:11:16,9
2024-05-01 14:11:26,7
2024-05-01 14:11:36,5
2024-05-01 14:11:46,3
2024-05-01 14:11:56,4
2024-05-01 14:12:06,5
2024-05-01 14:12:16,6
2024-05-01 14:12:26,9
2024-05-01 14:12:36,8
2024-05-01 14:12:46,6
2024-05-01 14:12:56,4
2024-05-01 14:13:06,6
2024-05-01 14:13:16,9
2024-05-01 14:13:26,8
2024-05-01 14:13:36,6
2024-05-01 14:13:46,6
2024-05-01 14:13:56,5
2024-05-01 14:14:06,10
2024-05-01 14:14:16,7
2024-05-01 14:14:26,7
2024-05-01 14:14:36,10
2024-05-01 14:14:46,8
2024-05-01 14:14:56,10
2024-05-01 14:15:06,10
2024-05-01 14:15:16,11
2024-05-01 14:15:26,7
2024-05-01 14:15:36,8
2024-05-01 14:15:46,10
2024-05-01 14:15:56,10
2024-05-01 14:16:06,6
2024-05-01 14:16:16,3
2024-05-01 14:16:26,6
2024-05-01 14:16:36,9
2024-05-01 14:16:46,7
2024-05-01 14:16:56,4
2024-05-01 14:17:06,6
2024-05-01 14:17:16,8
2024-05-01 14:17:26,6
2024-05-01 14:17:36,8
2024-05-01 14:17:46,7
2024-05-01 14:17:56,8
2024-05-01 14:18:06,7
2024-05-01 14:18:16,8
2024-05-01 14:18:26,6
2024-05-01 14:18:36,7
2024-05-01 14:18:46,8
2024-05-01 14:18:56,4
2024-05-01 14:19:06,2
2024-05-01 14:19:16,2
2024-05-01 14:19:26,2
2024-05-01 14:19:36,1
2024-05-01 14:19:46,2
2024-05-01 14:19:56,1
2024-05-01 14:20:06,1
2024-05-01 14:20:16,1
2024-05-01 14:20:26,1
2024-05-01 14:20:36,2
2024-05-01 14:20:46,1
2024-05-01 14:20:56,2
2024-05-01 14:21:06,1
2024-05-01 14:21:16,2
2024-05-01 14:21:26,2
2024-05-01 14:21:36,3
2024-05-01 14:21:46,6
2024-05-01 14:21:56,8
2024-05-01 14:22:06,7
2024-05-01 14:22:16,8
2024-05-01 14:22:26,4
2024-05-01 14:22:36,8
2024-05-01 14:22:46,8
2024-05-01 14:22:56,7
2024-05-01 14:23:06,5
2024-05-01 14:23:16,3
2024-05-01 14:23:26,1
2024-05-01 14:23:36,1
2024-05-01 14:23:46,2
2024-05-01 14:23:56,2
2024-05-01 14:24:06,1
2024-05-01 14:24:16,2
2024-05-01 14:24:26,1
2024-05-01 14:24:36,4
2024-05-01 14:24:46,3
2024-05-01 14:24:56,2
2024-05-01 14:25:06,3
2024-05-01 14:25:16,3
2024-05-01 14:25:26,1
2024-05-01 14:25:36,2
2024-05-01 14:25:46,3
2024-05-01 14:25:56,2
2024-05-01 14:26:06,2
2024-05-01 14:26:16,1
2024-05-01 14:26:26,1
2024-05-01 14:26:36,2
2024-05-01 14:26:46,2
