frame,flow,density,speed,TPI,weighted_flow_rate,weighted_speed,congestion_factor,smoothed_congestion_factor,final_theoretical_value,normalized_smoothed_congestion_factor,Weather Impact,Accident Impact,Dynamic Capacity,Time Interval,Blockage Probability
1,10,10,10,5,10,10,10,10,6.5,0.021660564,50,100,1150,1,0.991304348
2,10,10,21.54812242,4.34685978,10,12.09965862,4.762310278,9.047692778,5.757109679,0.016498548,50,100,1150,1,0.991304348
3,12,12,19.41469626,4.134897435,10.36363636,13.42966547,7.532125925,8.772135168,5.526068755,0.015004878,50,100,1150,1,0.989565217
4,12,12,20.9524082,3.950752439,10.66115702,14.79743687,6.992221975,8.448514588,5.300081083,0.01325068,50,100,1150,1,0.989565217
5,13,13,20.28867932,3.854618971,11.0864012,15.79584459,8.442094724,8.44734734,5.232437482,0.013244353,50,100,1150,1,0.988695652
6,14,13,18.15682822,4.104450878,11.61614644,16.22511434,10.10353945,8.748473179,5.497657568,0.014876617,50,100,1150,1,0.987826087
7,15,12,14.10644867,5.05678892,12.23139254,15.8399024,12.7341015,9.473132874,6.381692106,0.018804661,50,100,1150,1,0.986956522
8,15,12,13.21639173,5.531851098,12.73477571,15.36290046,13.56041761,10.21627555,6.937178434,0.022832893,50,100,1150,1,0.986956522
9,17,14,12.8875936,5.112075613,13.51027104,14.91284467,18.30052565,11.68613921,7.084294691,0.030800342,50,100,1150,1,0.985217391
10,18,13,12.13761757,5.233194914,14.3265854,14.40825792,19.03048567,13.02147493,7.569678918,0.038038578,50,100,1150,1,0.984347826
11,18,13,12.6455965,5.110840729,14.99447896,14.08777403,18.29509981,13.98031582,7.771683255,0.04323601,50,100,1150,1,0.984347826
12,18,12,13.0441816,5.025654931,15.54093733,13.89802995,16.39080209,14.41858605,7.843534266,0.04561167,50,100,1150,1,0.984347826
13,19,12,12.81958608,4.912986716,16.16985782,13.70194925,17.56811349,14.9912274,7.936458921,0.048715693,50,100,1150,1,0.983478261
14,19,12,9.141674615,7.004743706,16.68442912,12.8728084,24.26964292,16.67821204,9.906784206,0.057860055,50,100,1150,1,0.983478261
15,19,12,10.20331471,6.344687382,17.10544201,12.38744591,21.86238621,17.62078916,9.727517916,0.062969329,50,100,1150,1,0.983478261
16,21,13,7.362767938,8.062875248,17.81354346,11.4738681,35.54727829,20.88015082,11.90805792,0.080636817,50,100,1150,1,0.98173913
17,22,13,8.03630778,7.164454019,18.57471738,10.84885713,34.26539993,23.31383248,12.00926756,0.093828677,50,100,1150,1,0.980869565
18,22,11,7.628813989,7.646448507,19.19749604,10.26339474,30.4472461,24.61081677,12.73575899,0.100859028,50,100,1150,1,0.980869565
19,22,12,7.822698926,7.534406539,19.70704221,9.819631867,32.44139941,26.03455907,13.0844523,0.108576475,50,100,1150,1,0.980869565
20,22,13,9.975264719,5.954121627,20.12394363,9.847928749,27.92292203,26.37789779,12.08125448,0.110437555,50,100,1150,1,0.980869565
21,22,14,10.09412491,5.944051666,20.46504479,9.892691688,29.73346101,26.98800019,12.25723622,0.113744637,50,100,1150,1,0.980869565
22,24,15,7.873943808,7.037980969,21.10776392,9.525646619,43.8861316,30.06038772,13.94470299,0.130398625,50,100,1150,1,0.979130435
23,24,15,8.695539414,6.420916596,21.63362502,9.374718036,39.96502907,31.8612316,14.0530111,0.140160165,50,100,1150,1,0.979130435
