timestamps,vehicle_count
2024-05-01 13:04:15,6
2024-05-01 13:04:25,6
2024-05-01 13:04:35,6
2024-05-01 13:04:45,6
2024-05-01 13:04:55,5
2024-05-01 13:05:05,7
2024-05-01 13:05:15,6
2024-05-01 13:05:25,6
2024-05-01 13:05:35,7
2024-05-01 13:05:45,5
2024-05-01 13:05:55,3
2024-05-01 13:06:05,6
2024-05-01 13:06:15,6
2024-05-01 13:06:25,4
2024-05-01 13:06:35,3
2024-05-01 13:06:45,2
2024-05-01 13:06:55,4
2024-05-01 13:07:05,6
2024-05-01 13:07:15,1
2024-05-01 13:07:25,5
2024-05-01 13:07:35,4
2024-05-01 13:07:45,5
2024-05-01 13:07:55,6
2024-05-01 13:08:05,8
2024-05-01 13:08:15,8
2024-05-01 13:08:25,5
2024-05-01 13:08:35,8
2024-05-01 13:08:45,10
2024-05-01 13:08:55,9
2024-05-01 13:09:05,7
2024-05-01 13:09:15,6
2024-05-01 13:09:25,6
2024-05-01 13:09:35,7
2024-05-01 13:09:45,6
2024-05-01 13:09:55,4
2024-05-01 13:10:05,8
2024-05-01 13:10:15,9
2024-05-01 13:10:25,4
2024-05-01 13:10:35,2
2024-05-01 13:10:45,7
2024-05-01 13:10:55,6
2024-05-01 13:11:05,1
2024-05-01 13:11:15,5
2024-05-01 13:11:25,4
2024-05-01 13:11:35,5
2024-05-01 13:11:45,5
2024-05-01 13:11:55,8
2024-05-01 13:12:05,4
2024-05-01 13:12:15,3
2024-05-01 13:12:25,6
2024-05-01 13:12:35,3
2024-05-01 13:12:45,4
2024-05-01 13:12:55,1
2024-05-01 13:13:05,5
2024-05-01 13:13:15,6
2024-05-01 13:13:25,7
2024-05-01 13:13:35,7
2024-05-01 13:13:45,7
2024-05-01 13:13:55,4
2024-05-01 13:14:05,4
2024-05-01 13:14:15,6
2024-05-01 13:14:25,8
2024-05-01 13:14:35,7
2024-05-01 13:14:45,7
2024-05-01 13:14:55,3
2024-05-01 13:15:05,5
2024-05-01 13:15:15,7
2024-05-01 13:15:25,8
2024-05-01 13:15:35,4
2024-05-01 13:15:45,4
2024-05-01 13:15:55,7
2024-05-01 13:16:05,9
2024-05-01 13:16:15,5
2024-05-01 13:16:25,6
2024-05-01 13:16:35,7
2024-05-01 13:16:45,4
2024-05-01 13:16:55,5
2024-05-01 13:17:05,7
2024-05-01 13:17:15,6
2024-05-01 13:17:25,7
