frame,flow,density,speed,TPI,weighted_flow_rate,weighted_speed,congestion_factor,smoothed_congestion_factor,final_theoretical_value,normalized_smoothed_congestion_factor,Weather Impact,Accident Impact,Dynamic Capacity,Time Interval,Blockage Probability
1,19,14,17.61413173,10.05173768,19,17.61413173,15.07110603,15.07110603,11.55754819,0,50,100,1150,1,0.983478261
2,32,13,15.44719005,6.11964051,21.36363636,17.22014233,26.49369567,17.14794051,9.428130511,0.018572965,50,100,1150,1,0.972173913
3,50,9,8.692161947,6.22169724,26.57024793,15.66960044,49.44429859,23.02000562,11.26118975,0.071086373,50,100,1150,1,0.956521739
4,67,12,13.8751622,3.13671202,33.92111195,15.34333895,56.34719029,29.07949374,10.91954654,0.125275891,50,100,1150,1,0.94173913
5,72,12,9.994334965,4.203770339,40.84454614,14.37079277,82.90187067,38.86538045,14.60225337,0.212790294,50,100,1150,1,0.937391304
6,73,11,9.83161909,4.526909445,46.69099229,13.54548846,78.25491754,46.02711447,16.97697095,0.276837108,50,100,1150,1,0.936521739
7,78,10,11.73188559,4.617046959,52.38353915,13.21574248,64.17653227,49.32700862,18.03003546,0.306347798,50,100,1150,1,0.932173913
8,71,13,14.11318935,5.173464529,55.76835021,13.37891464,63.60692232,51.92335656,19.19843214,0.32956673,50,100,1150,1,0.93826087
9,70,11,15.40736736,5.641086091,58.3559229,13.74772423,48.75099584,51.3465637,19.35272938,0.324408517,50,100,1150,1,0.939130435
10,70,9,11.48433467,8.161428079,60.47302783,13.33619885,52.94411559,51.63702768,21.20410796,0.327006114,50,100,1150,1,0.939130435
11,69,12,11.81554087,9.071815417,62.02338641,13.05971558,67.7193157,54.56108005,22.71859481,0.35315568,50,100,1150,1,0.94
12,76,13,11.92323357,8.741226415,64.56458888,12.85308249,80.0516222,59.19572408,23.87757571,0.394602931,50,100,1150,1,0.933913043
13,78,14,6.693078198,14.16695129,67.0073909,11.73308171,152.7857712,76.21209629,32.78049479,0.546778987,50,100,1150,1,0.932173913
14,77,12,9.525918403,9.850091599,68.82422892,11.33177929,92.75958198,79.22073005,30.66128313,0.573684958,50,100,1150,1,0.933043478
15,65,9,7.66570333,13.82581752,68.12891457,10.66522002,72.19218923,77.94281354,33.06091632,0.562256653,50,100,1150,1,0.943478261
16,68,16,10.21184353,11.15198765,68.10547556,10.58278793,102.3166551,82.37442109,32.51871768,0.601888165,50,100,1150,1,0.940869565
17,59,9,6.553318337,18.24926155,66.44993455,9.850157099,75.92171152,81.20120117,37.13484343,0.591396153,50,100,1150,1,0.948695652
18,62,13,13.74804047,8.278012556,65.64085554,10.55886317,57.02538548,76.80559831,28.83628828,0.552086628,50,100,1150,1,0.946086957
19,66,10,8.04649288,12.66126614,65.70615453,10.10206857,77.8096945,76.98816126,31.95933468,0.553719274,50,100,1150,1,0.942608696
20,67,19,10.64331183,8.974874514,65.94139916,10.20047643,115.0914575,83.91603331,31.45722215,0.61567468,50,100,1150,1,0.94173913
21,72,12,9.811185911,7.54382697,67.04296295,10.12969634,84.37438792,83.99937051,30.48049003,0.616419958,50,100,1150,1,0.937391304
22,69,13,8.528953336,8.80886925,67.39878787,9.838652156,100.0669697,86.92075218,32.24243413,0.642545641,50,100,1150,1,0.94
23,68,15,11.54489437,6.603377364,67.50809917,10.14887801,85.30585398,86.62713433,30.61050445,0.63991984,50,100,1150,1,0.940869565
24,65,12,10.36287714,7.696110365,67.05208114,10.18778694,72.35652121,84.0324774,30.59702047,0.61671603,50,100,1150,1,0.943478261
25,66,16,13.72540991,5.722630877,66.86079366,10.83099112,74.79573571,82.35306982,28.71176256,0.601697223,50,100,1150,1,0.942608696
26,56,11,15.11626079,5.955034674,64.8861039,11.61013106,39.79825954,74.61583159,26.55327375,0.53250372,50,100,1150,1,0.951304348
27,57,12,16.3074118,5.577057202,63.45226683,12.4641821,41.05331673,68.51355616,24.45800689,0.477931558,50,100,1150,1,0.950434783
28,62,11,16.99133689,5.058555043,63.18821831,13.28730116,39.30517172,63.20294081,22.50187077,0.43043915,50,100,1150,1,0.946086957
29,67,10,13.08356769,6.589101482,63.88126953,13.25025871,49.69239419,60.74647778,22.83631437,0.408471198,50,100,1150,1,0.94173913
30,75,10,18.06503613,5.084591733,65.90285689,14.12567278,40.66784438,57.09581717,20.68795936,0.375823631,50,100,1150,1,0.934782609
31,79,13,15.1741723,6.756984403,68.28415564,14.31630906,65.93649604,58.70321332,22.34085308,0.390198447,50,100,1150,1,0.931304348
32,79,15,10.62811308,11.20624752,70.23249097,13.64572797,107.1610247,67.51372448,28.09849061,0.468990144,50,100,1150,1,0.931304348
33,85,11,12.7350926,9.238021465,72.91749262,13.4801579,71.06108195,68.15869857,26.9142246,0.474758095,50,100,1150,1,0.926086957
34,84,15,9.453857525,12.59249134,74.93249396,12.74810329,127.3375671,78.91849284,32.49029179,0.570982075,50,100,1150,1,0.926956522
35,80,13,11.34520752,10.15406724,75.85385869,12.49303133,88.34796673,80.63294264,31.29772986,0.586314263,50,100,1150,1,0.930434783
36,83,14,10.18586821,10.01150825,77.15315711,12.07354713,109.3968199,85.86273851,32.76687733,0.633083909,50,100,1150,1,0.927826087
37,80,13,12.83323418,7.203951762,77.67076491,12.21167205,78.48808366,84.52189217,30.39933388,0.621092827,50,100,1150,1,0.930434783
